# Project Number to Department Mapping
# Fill in the dept_code column based on your departments.csv
project_number,txn_count,dept_code
1157,54,MAINT
1158,355,MAINT
1159,123,MAINT
1160,288,MAINT
1161,100,MAINT
1162,18,MAINT
1163,7,MAINT
1164,131,MAINT
1165,8,MAINT
1166,431,MAINT
1168,18,MAINT
1170,60,MAINT
1178,113,MAINT
1179,20,MAINT
1181,2,MAINT
1182,4,MAINT
1184,12,MAINT
1193,8,MAINT
1216,24,MAINT
1220,74,MAINT
1221,37,MAINT
1238,108,MAINT
CCP002MG,29,MAINT
CCP131MS,16,MAINT
CCP150SS,147,MAINT
CCP320OP,88,OPER
CCP330MA,3114,MAINT
CCP342CH,118,ENV
CCP350YA,193,YARD
CCP360EN,241,ENV
CCP365SF,37,MAINT
CCP370IC,39,IC
EO568000,4,EO
KCP002MG,1,MAINT
KCP12OUT,163,OUTAGE
KCP1OUT,671,OUTAGE
KCP2OUT,493,OUTAGE
KCP320OP,90,OPER
KCP330MA,2787,MAINT
KCP342CH,3,ENV
KCP350YA,205,YARD
KCP35OUT,147,OUTAGE
KCP360EN,63,ENV
KCP365SF,24,MAINT
KCP380TE,59,MAINT
KCP3OUT,181,OUTAGE
KCP4OUT,158,OUTAGE
KCP5OUT,142,OUTAGE
PIK001EM,4,ENV
PIK100TA,36,TA
SYSACOB,16,AC
SYSAPOB,12,AC
SYSEAOB,176,EA
SYSEMOB,31,MAINT
SYSGAOB,133,MAINT
SYSHROB,198,HR
SYSISOB,105,IS
SYSOSOB,91,OS
SYSPOCONV,86,MAINT
SYSSCOB,36,MAINT
SYSTAOB,90,TA
TS562100,98,TS
TS563100,28,TS
TS570500,138,TS
TSO-MA-02,6,TS
TSO302TS,22,TS
TSOPOCONV,4,TS
