"BudgetHistoryLink","BUDGET","KEY","Budget#","FullAccount","Account","AcctDesc","Description","Dept","L/N","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total","BudgetYear+1","BudgetYear+2","BudgetYear+3","BudgetYear+4","DIFF","Comments","Ranking","ImportDate","BudgetYear"
"156443","EO","EOEO003-1-10-401-20-300-560-000-4","           ","003-1-10-401-20-300-560-000-4","003-1-10-401-20-300-560-000-4","OPER SUPV & ENG -EO","North American Transmission Forum","EO","N","0","0","0","0","0","0","0","0","0","0","25000","0","25000","25000","25000","25000","25000","0","","","2025-03-18 13:20:02","2025"
"156444","EO","EOEO003-1-10-401-20-300-560-000-4","           ","003-1-10-401-20-300-560-000-4","003-1-10-401-20-300-560-000-4","OPER SUPV & ENG -EO","Travel","EO","N","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","30000","30000","30000","30000","30000","0","","","2025-03-18 13:20:02","2025"
"156445","EO","EOEO003-1-10-401-20-300-562-201-4","           ","003-1-10-401-20-300-562-201-4","003-1-10-401-20-300-562-201-4","TRAINING SUPP&EXP-E.O.","","EO","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-03-18 13:20:02","2025"
"156446","EO","EOEO003-1-10-401-20-300-562-202-4","           ","003-1-10-401-20-300-562-202-4","003-1-10-401-20-300-562-202-4","COMPUTER SUPP&EXP-HRDWARE","","EO","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-03-18 13:20:02","2025"
"156447","EO","EOEO003-1-10-401-20-300-562-203-4","           ","003-1-10-401-20-300-562-203-4","003-1-10-401-20-300-562-203-4","COMPUTER SUPP&EXP-SOFTWARE","","EO","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-03-18 13:20:02","2025"
"156448","EO","EOEO003-1-10-401-20-300-567-200-4","           ","003-1-10-401-20-300-567-200-4","003-1-10-401-20-300-567-200-4","VEHICLE LEASE","","EO","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-03-18 13:20:02","2025"
"156449","EO","EOEO003-1-10-401-20-300-567-220-4","           ","003-1-10-401-20-300-567-220-4","003-1-10-401-20-300-567-220-4","OFFICE EQUIPMENT LEASE","","EO","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-03-18 13:20:02","2025"
"156450","EO","EOTC003-1-10-401-20-303-560-000-4","           ","003-1-10-401-20-303-560-000-4","003-1-10-401-20-303-560-000-4","OPER SUPV & ENG -T&C","","TC","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-03-18 13:20:02","2025"
"172047","Clifty","CliftyMAINT003-2-21-401-20-320-512-274-4","           ","003-2-21-401-20-320-512-274-4","003-2-21-401-20-320-512-274-4","COOLING COILS&PUMPS","Replace up to 6 coils if needed. And make repairs if needed. $4000ea","MAINT","N","0","0","0","0","0","0","0","5000","0","0","0","0","5000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172048","Clifty","CliftyMAINT003-2-21-401-20-320-512-276-4","           ","003-2-21-401-20-320-512-276-4","003-2-21-401-20-320-512-276-4","OIL LIGHTERS","""4 - Oil Lighter Tip Replacement $2200 ea. Oil Reg. Replacements, Hose Replacements - $3500""","MAINT","N","0","203","0","1200","597","1000","1000","0","1000","0","0","0","5000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172049","Clifty","CliftyMAINT003-2-21-401-20-320-512-277-4","           ","003-2-21-401-20-320-512-277-4","003-2-21-401-20-320-512-277-4","BURNERS&SEC AIR DMP","""(Misc repairs limit switches $657 ea., Quick repair kits $19 ea.) 2300 siemens controlersX3""","MAINT","N","0","0","0","3000","0","0","0","5000","0","0","0","0","8000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172050","Clifty","CliftyMAINT003-2-21-401-20-320-512-280-4","           ","003-2-21-401-20-320-512-280-4","003-2-21-401-20-320-512-280-4","BLR DRUM & INTERNALS","(A/O drum vent valves repair kit $582 ea. 4 per year). Positioner $539 ea.)","MAINT","N","0","5000","0","0","0","0","0","0","0","1000","4000","0","10000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172051","Clifty","CliftyMAINT003-2-21-401-20-320-512-292-4","           ","003-2-21-401-20-320-512-292-4","003-2-21-401-20-320-512-292-4","OUTAGE PREP&CLEANUP","","MAINT","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"172052","Clifty","CliftyMAINT003-2-21-401-20-320-512-293-4","           ","003-2-21-401-20-320-512-293-4","003-2-21-401-20-320-512-293-4","MISC OTHER BOILER","(Aspirating air port repair kits $47 ea.) Avg. 55 per year","MAINT","N","323","323","323","323","323","323","323","323","323","323","323","323","3876","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
