"Key","Group","CTACCT","CTDESC","Type","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total","FERC","LABOR"
"KygerENV003-1-20-401-20-320-512-537-5","ENV","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Actual","-0.07","0","0","3252.14","0","-231.88","0","0","0","0","-0.1","0","3020.09","512-5","LABOR"
"KygerENV003-1-20-401-20-320-512-537-5","ENV","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Budget","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerENV003-1-20-401-20-320-512-537-5","ENV","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","FcastActuals","-0.07","0","0","3252.14","0","-231.88","0","0","0","0","-0.1","0","3020.0899999999997","512-5","LABOR"
"KygerENV003-1-20-401-20-320-512-537-5","ENV","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Forecast","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerENV003-1-20-401-20-320-512-537-5","ENV","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Variance","-0.07","0","0","3252.14","0","-231.88","0","0","0","0","-0.1","0","3020.0899999999997","512-5","LABOR"
"KygerMAINT003-1-20-401-20-320-512-537-4","MAINT","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Actual","0","0","0.01","0","0","96.01","96.01","13500","0","0","96","1","13789.03","512-5","OTHER"
"KygerMAINT003-1-20-401-20-320-512-537-4","MAINT","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Budget","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","OTHER"
"KygerMAINT003-1-20-401-20-320-512-537-4","MAINT","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","FcastActuals","0","0","0.01","0","0","96.01","96.01","13500","0","0","96","0","13788.03","512-5","OTHER"
"KygerMAINT003-1-20-401-20-320-512-537-4","MAINT","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Forecast","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","OTHER"
"KygerMAINT003-1-20-401-20-320-512-537-4","MAINT","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Variance","0","0","0.01","0","0","96.01","96.01","13500","0","0","96","0","13788.03","512-5","OTHER"
"KygerMAINT003-1-20-401-20-320-512-537-5","MAINT","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Actual","195.12","0","660.6","1843.78","142.02","-434.16","0","0","0","421.44","-210.72","0","2618.08","512-5","LABOR"
"KygerMAINT003-1-20-401-20-320-512-537-5","MAINT","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Budget","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerMAINT003-1-20-401-20-320-512-537-5","MAINT","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","FcastActuals","195.12","0","660.6","1843.78","142.02","-434.16","0","0","0","421.44","-210.72","0","2618.0800000000004","512-5","LABOR"
"KygerMAINT003-1-20-401-20-320-512-537-5","MAINT","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Forecast","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerMAINT003-1-20-401-20-320-512-537-5","MAINT","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Variance","195.12","0","660.6","1843.78","142.02","-434.16","0","0","0","421.44","-210.72","0","2618.0800000000004","512-5","LABOR"
"KygerPLANNED-01003-1-20-401-20-320-512-537-5","PLANNED-01","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Actual","0","0","0","754.72","-348.96","0","0","0","0","0","0","0","405.76","512-5","LABOR"
"KygerPLANNED-01003-1-20-401-20-320-512-537-5","PLANNED-01","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Budget","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerPLANNED-01003-1-20-401-20-320-512-537-5","PLANNED-01","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","FcastActuals","0","0","0","754.72","-348.96","0","0","0","0","0","0","0","405.76000000000005","512-5","LABOR"
"KygerPLANNED-01003-1-20-401-20-320-512-537-5","PLANNED-01","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Forecast","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerPLANNED-01003-1-20-401-20-320-512-537-5","PLANNED-01","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Variance","0","0","0","754.72","-348.96","0","0","0","0","0","0","0","405.76000000000005","512-5","LABOR"
"KygerPLANNED-05003-1-20-401-20-320-512-537-4","PLANNED-05","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Actual","0","0","0","0","28643.72","54925.29","0","-31450","440.8","0","0","0","52559.81","512-5","OTHER"
"KygerPLANNED-05003-1-20-401-20-320-512-537-4","PLANNED-05","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Budget","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","OTHER"
"KygerPLANNED-05003-1-20-401-20-320-512-537-4","PLANNED-05","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","FcastActuals","0","0","0","0","28643.72","54925.29","0","-31450","440.8","0","0","0","52559.81000000001","512-5","OTHER"
"KygerPLANNED-05003-1-20-401-20-320-512-537-4","PLANNED-05","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Forecast","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","OTHER"
"KygerPLANNED-05003-1-20-401-20-320-512-537-4","PLANNED-05","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Variance","0","0","0","0","28643.72","54925.29","0","-31450","440.8","0","0","0","52559.81000000001","512-5","OTHER"
"KygerPLANNED-05003-1-20-401-20-320-512-537-5","PLANNED-05","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Actual","0","0","0","0","14667.68","-7543.79","0","0","0","0","0","0","7123.89","512-5","LABOR"
"KygerPLANNED-05003-1-20-401-20-320-512-537-5","PLANNED-05","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Budget","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerPLANNED-05003-1-20-401-20-320-512-537-5","PLANNED-05","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","FcastActuals","0","0","0","0","14667.68","-7543.79","0","0","0","0","0","0","7123.89","512-5","LABOR"
"KygerPLANNED-05003-1-20-401-20-320-512-537-5","PLANNED-05","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Forecast","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerPLANNED-05003-1-20-401-20-320-512-537-5","PLANNED-05","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Variance","0","0","0","0","14667.68","-7543.79","0","0","0","0","0","0","7123.89","512-5","LABOR"
"KygerUNPLANNED003-1-20-401-20-320-512-537-4","UNPLANNED","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Actual","0","0","0","0","129.7","961.91","0","0","0","0","0","0","1091.61","512-5","OTHER"
"KygerUNPLANNED003-1-20-401-20-320-512-537-4","UNPLANNED","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Budget","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","OTHER"
"KygerUNPLANNED003-1-20-401-20-320-512-537-4","UNPLANNED","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","FcastActuals","0","0","0","0","129.7","961.91","0","0","0","0","0","0","1091.61","512-5","OTHER"
"KygerUNPLANNED003-1-20-401-20-320-512-537-4","UNPLANNED","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Forecast","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","OTHER"
"KygerUNPLANNED003-1-20-401-20-320-512-537-4","UNPLANNED","003-1-20-401-20-320-512-537-4","13.8KV SWITCHGEAR","Variance","0","0","0","0","129.7","961.91","0","0","0","0","0","0","1091.61","512-5","OTHER"
"KygerUNPLANNED003-1-20-401-20-320-512-537-5","UNPLANNED","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Actual","0","0","0","0","0","0","4621.87","-2719.87","0","0","0","0","1902","512-5","LABOR"
"KygerUNPLANNED003-1-20-401-20-320-512-537-5","UNPLANNED","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Budget","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
"KygerUNPLANNED003-1-20-401-20-320-512-537-5","UNPLANNED","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","FcastActuals","0","0","0","0","0","0","4621.87","-2719.87","0","0","0","0","1902","512-5","LABOR"
"KygerUNPLANNED003-1-20-401-20-320-512-537-5","UNPLANNED","003-1-20-401-20-320-512-537-5","13.8KV SWITCHGEAR","Forecast","0","0","0","0","0","0","0","0","0","0","0","0","0","512-5","LABOR"
